wallet,num_proposals
0xe5f6dbc39334f3e79c149efb8c8c9c8dec474af1,292
0x35001a8bdb3a224d05f086094c12fd4c9009986d,291
0x4ada1b9d9fe28abd9585f58cfeed2169a39e1c6b,290
0xde34393312c0c1e97e404d18a04580e9610e063c,290
0xe1a1d5c32888c5b140917b296e82cf3a448f37a6,290
0x4edb4161d16c89b71aec027930a943c3d4cf0777,289
0xa60ca8a1400333468a736c7247baad6350c6496d,288
0x43ff4c088df0a425d1a519d3030a1a3dfff05cfd,287
0x180f207f8747a966ec94277a69610162d7fa3ff1,286
0x47d6f96ba098816389db7c87cbf077de7181b853,286
0x9ff84b91998df96a6587db8dde8d4e47518107d6,285
0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,284
0xded7cfb53cf1658e07432a3c4c8c0064d5bd626a,282
0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,281
0xdc5aac3b5bd12aff946a6c263172bfc0392883d1,280
0xe23da0be88c9b56c815c0525e5c1c687a99a8def,279
0xe1bcd0f5c6c855ee3452b38e16fed0b7cb0cc507,277
0x3b3120e283c08daabb5e3f240e008387ef8a67db,275
0x77427023e70cafd983dabaf3488d8d83ecb15b96,275
0xa7f1c77998bae58614be010ad2a806639e280056,275
0xfe698c212526f15cc25af671beba14aac309457f,275
0x6d06dd922210c87df1f532b4805badf782e598b9,274
0x82131e86d080312e13605aada6538a94df5b41a5,274
0x262944448ec574dd5f82136964bbf189cc1ab579,273
0x677975399cbd8aa7bd17a4b87c04ed07a85978d4,271
0xe0c74c6ac956dba68797d76f77f1f5a52258aa7e,271
0x019ed608dd806b80193942f2a960e7ac8abb2ee3,270
0xc727bff1962590c71a6cb56c6d11f37bee740a5d,270
0xba21325681ffd7d623993a2a564f6390654e2948,269
0x6fcf9d80e2b597f4b3fa764b5626f573a9fc93d3,268
0x8b200f4c81c54d9014b4cda3f16501069fa20ab9,267
0x3e01cbe85caddb812a0483335f69815dafcb8eb7,266
0x6519e6117480d140cd7d33163ac30fd01812f34a,266
0x8f652eff4ba275e023f124a98af86025ab0e5eec,266
0x05ebff07711a5b6042c27fdaa683a5c6d55b6684,264
0x2f08d099c60823ce5955e747909d216dcbc9bf21,264
0x37e2a074b7bed2bf2e35c3767a8b673db2658bcc,264
0xe2de15659663f7024699e1e573c033e2efd5bcb1,263
0xa33aa58fd2795ea89a84c19cacdad50915194980,262
0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,261
0xe7824cfa1c9fafa4767df34305123f3151a00f1b,261
0x2d5f86cd294ca6c92189340eaeff41fc63dc66ef,260
0x8628d73d3f950abde99739ef34b6cfa10394f579,260
