gv_id,av_id
0x17d449f67d7aabc320c582ddba66dfca411064d739589887957fcbe311b6e808,0x782d1fe91e144788819da2d6c965a1d58aa0e670f2f1bc7a501429b823c9b4a8
0x9fe147d9a9513e575476103d08005d515701fec42cbfd224e26f6ff6d46b5b25,0x48ed1bfe262897452dbccdada4f280c8c5d2a41150640fb583e3f5df50eb6572
0x1ad881ec530b2466508f45be333af4f0019a61d4ef8b35627aa5106aecb1e231,0x551268ae0158295bfa0e818cac2ddf1356149f1dfbdb9727028f29833b3e53e5
0x11d8b76d0ef0d857451aada38f07e84fad9997806aae46c02157c711b1f51a73,0xc4a9034b518ae0ba34181e3f835fa1f525efbf9bc1172b2cdd3fac7bfda5599e
0x731d074201e7fd252bc1aa6ec42cd52893aedc9a6db5ca48d44931c5ddf6aea1,0x0e3aab22b79d92dedc7b0f1c2ee4d405f10dc79cb55719f3540daf38d04febd0
0xf2cb15a41bb7047fed6b770902c7abf5bcb2e96e094196565f48e100dc3c1719,0xa3236a927c8e75bb96d2e69e51015b1689a5425a6394d52b0257eefa38d84b68
0x445574d3fdb0bd2d6572b262a2b426d383c8c60e14df01746cb9fbc52e676736,0x5fa86c431e3e0d5429906f86d1182781b7f0366f554a57631cf0c8fd2dd1c2b5
0xb14d091124db152d50f9ac257ad03e89ff6c194dea7f8930661988f5a63281f4,0x4fec11f6ee6c58dc3caa0face6d4894ac1704e63a18be5c9da25b259bac84eb1
0x9f9a693bacfc5778bff46577415c4cae51af290a0dc4a749fe9a519a310d2bc1,0xb5f59d03cc0e0db509357d4a80f368af1ae6567cd1c57240c251cb1107da56b2
0xdd600f625026648a331bab6119b72ad74c5fe04f6921054c49f8376d66dc2618,0x12136b11853cdc116af694d23e83190481119fb7e71048d2fc4ef160d3c0c32b
0x38fb44ea54869027a74c32f7115138de2aa85dc728ed791734ff8abc4113676c,0x47a9ce6f103047d8cb10ca14cd7274cd8d13871080e32cbe0b4efedf6e0b888c
0xc761a35f70420300ff22c13f6d5ff962f9152f3dba524bf28376210464d8178d,0xded951f11b5b0ef037133c627159aea13acd4a10fe26d509076de5708244a62f
0xdd2675b544827cb67fa0e6b1ae259797a2b4a878a38f68d633cd86e624c95e90,0xd46fdc43cf05ad2059c1f1ddd9d129fafcf1a522a4623aaf21438ac6c1672478
0x8cd33d1472e607785a6fed2d8b274afe9641cc17478876ff1e8fba8885ef925c,0x24191cf52ade5500f0292f3b553659424df7c00d0e9945b9efe2807f97e97513
0x5ed7d2160744952809031f44b359b1bffea5625c8b918f44239af47df8aa1efc,0xd3c0ca68dedf236a9418b51fb9743dc4428182d7b178528f80a448dd5b2aeb6e
0x0a074574c34295d31777a88ef84e653cd531bcda3d013a90cbeba7bfb8f9d604,0x95c58ed45937af95c94df7bc959381435ea592bfff55355d8c04ed6d5b2727b6
0x4a174f23c68c54848ce576224f1fc8687e2d22902b43e2952a0af48dad7c5405,0x42da17ccfaf9c99bd5a904de5a9d1f1d72f8e7057594fbd20f9d328ad6b8a109
0xbf7177ab19c9a5cd15c35dd7f1c0642750b0b474d6b1cb613cd880c36ecd2b77,0x5116dcfea59bb27189e607e990746417840142115f31ecb6223a8748868b2a7f
0xb86545b820be639f3e82be1f770b14c749ea3d55140edcbd66392e4f03b4c27c,0xae17b512c7055fb2fa0ae2701666c417ebe2c80bc2901eda93d80239a9ca5c53
0x685e106637df647e98bc06d33c79e6defdadead3c6833a53067449f95c3b74e4,0x0146fc3a188544b270dd5efc928f3d96e31a9d00bfc6a367fa77c8124bd4df93
0x3769027eaff23fba91f0ddd73a358b8f87d04f31cd87e537801fe47e26ea5af4,0x538e41dc85ec65809b2b072d4ebb7dd4af1c9c973cb09f416300b9cc3d3b588f
0x344a9cbb61642c9a83cb4c97355b5d9fceac20c1334034bf83c35f449af12257,0x08ea07c9f1b18cd56c280f82b2467acdd21de6a06a7ab44768f4a13b6a6c0372
0x864ca0e3a040937f7958ef5621098f32247c6d03e1f27f7b07f8d4613aa96784,0x24e31f35168d1cc999288a38c012880c6ad4d41e604d66d1bbe4b67a00562990
0x3bb67c582f1213fa93900dcb1cb0b49a687e519c043b23198232f5d5a79b68c0,0x451ca91ce0403999fd4b57f14a9f8cc3a62fed001ea148e01dfec0e9bbbb467e
0x5f7d6d4a366d5ad36367d791def1562312de2cb9df4f1ce700e17972af37db47,0x705c1bd8e3d6a6455241bfb0b236ea2504fc5bf7157a1073245ec01b4bacb62a
0x684683020261d89e98bbe6db15ff6b98d8f2dade20571334e22da68defebb817,0x3b8609c0632f23ea329f97d7c1de18f84313158aabd173f285c8494285636380
0xac3c6c9f49329d0c31a30362d6707a6e792b924311c865b9eb2683bd9d6e0500,0x00c00dc576a8729214934ecf329ef86c4a78428111b030af6fa49a60807c973b
0xd40f96f47ee132b0de0edf366ea5c8adc9515f7b3f58540d13fdf2d4a529bfd1,0x17b63fde4c0045768a12dc14c8a09b2a2bc6a5a7df7ef392e82e291904784e02
0x4fc9e3727916447eaf7fb75245b3a017f5b7026956fc6d1240c0f67061967e1f,0x0a5b7e0c7fb2137cfcb5a546c27f5ddcef066631e79b9d77d1b16e3a501f9e2f
0x78d676e32cca8a7e4f3e41a5bd53c7936f39666c33d77f2ed0e962e016a711bb,0xb78e62609b02040049c304fb9f0d745a49b32b62a239a965c14ea07263019f0f
0xa5e79c56d33a5e2820611c663861b9e9fc2d1a49e745573e37bb0485090c6760,0x9c4951fcf5371ca2641b7db5ea4d31b64aac4f1f3dbcbc7c7f68a5889ea4b577
0xc7a8a0bdece33e0c2a5ff3cc8388e58f9782811f44e81bf08bd826e27999164a,0x368446c881fbea341027014c1aba0004f33af0d2eb769a1a99ad86a665ffeedb
0xd032067778fb911b5a48b26f765b32468de9b76f1964975e17bbf91f4a45959a,0xade68c6cf0285a55e4cf914266761b9a505389ef4686e7972ad5426ac49cd238
