position,gotchiID,formattedTokenID,name,withSetsRarityScore,kinship,experience,level,hauntId,owner,originalOwner,status,stakedAmount
3528,3274,"""3274"",",3DSLAPS,535,2816,1750,6,1,0x1863acbf4f98bec1df245f6770a1166e804ce79b,0x1863acbf4f98bec1df245f6770a1166e804ce79b,3,0
3529,18445,"""18445"",",piraate stomper,585,2722,4100,10,2,0x8b200f4c81c54d9014b4cda3f16501069fa20ab9,0x8b200f4c81c54d9014b4cda3f16501069fa20ab9,3,0
3530,5250,"""5250"",",Wrangell,580,2722,4080,10,1,0x7fbd1e4c9449c2443e0ad17537d77645bd23cc21,0x7fbd1e4c9449c2443e0ad17537d77645bd23cc21,3,42417500000000000000
3531,24902,"""24902"",",Sailor Demonic Rockfell,475,2722,3970,9,2,0x543d8004afa943344e6fba44e189ed0dd4e71d56,0x543d8004afa943344e6fba44e189ed0dd4e71d56,3,0
3532,21665,"""21665"",",Aada Lovelace,662,2722,3255,9,2,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,3,0
3533,8774,"""8774"",",TaZLinK,551,2722,1160,5,1,0xd5161c76579a49ac41db3fd4dddf24eccaeb750c,0xd5161c76579a49ac41db3fd4dddf24eccaeb750c,3,0
3534,1590,"""1590"",",Vexxer,537,2721,4615,10,1,0x2848b9f2d4faebaa4838c41071684c70688b455d,0x2848b9f2d4faebaa4838c41071684c70688b455d,3,0
3535,7573,"""7573"",",\,545,2721,4060,10,1,0x8f652eff4ba275e023f124a98af86025ab0e5eec,0x8f652eff4ba275e023f124a98af86025ab0e5eec,3,0
3536,17833,"""17833"",",Manners Maketh Man,519,2721,3810,9,2,0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,3,0
3537,21446,"""21446"",",Quantum,565,2727,3685,9,2,0x1a760e3a431c8b9c075ed1280c8835a1a0f1651b,0x1a760e3a431c8b9c075ed1280c8835a1a0f1651b,3,0
3538,24750,"""24750"",",KING_XP_24750,522,2814,3320,9,2,0xcd743104d7e15d6a0b297337db75b015deea5531,0xcd743104d7e15d6a0b297337db75b015deea5531,3,0
3539,6693,"""6693"",",Leo Ishii,567,2721,3240,9,1,0x34ec9c1d89ce8afa701d079fd908fca95f49667a,0x34ec9c1d89ce8afa701d079fd908fca95f49667a,3,0
3540,11304,"""11304"",",Get Lucky,573,2756,3205,9,2,0x2d5f86cd294ca6c92189340eaeff41fc63dc66ef,0x2d5f86cd294ca6c92189340eaeff41fc63dc66ef,3,0
