position,gotchiID,formattedTokenID,name,withSetsRarityScore,kinship,experience,level,hauntId,owner,originalOwner,status,stakedAmount
6113,21214,"""21214"",",JOB,496,480,2660,8,2,0x68057266b9e20a60c55d7b50eb6f22117b1eb842,0x68057266b9e20a60c55d7b50eb6f22117b1eb842,3,0
6114,19472,"""19472"",",ASTRID,572,2482,2655,8,2,0x537c666ca10453f9378f78a57c810e022ac5972e,0x537c666ca10453f9378f78a57c810e022ac5972e,3,0
6115,13124,"""13124"",",PVP 542 BRS + 1K KIN/XP,558,2604,2655,8,2,0xbedb7059937d6e9562b68a8b40fb3012d4b1e0a0,0xbedb7059937d6e9562b68a8b40fb3012d4b1e0a0,3,0
6116,6379,"""6379"",",Aubergine,568,1837,2655,8,1,0x7c74064a6f2a1307adec89f7ef0fb0c8588a310c,0x7c74064a6f2a1307adec89f7ef0fb0c8588a310c,3,0
6117,8090,"""8090"",",Dao Maker,522,2259,2655,8,1,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,3,0
6118,19763,"""19763"",",Ask_coderdan_about_me,549,2553,2655,8,2,0x5e8256a68e28655d9b421e94a0df3c292b6248bd,0x5e8256a68e28655d9b421e94a0df3c292b6248bd,3,0
6119,23008,"""23008"",",Aave.com,639,2558,2650,8,2,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,3,0
6120,2136,"""2136"",",Shieldbreaker,623,1625,2650,8,1,0x7dbfe62be1ac737d26823611f251d362c52a1141,0x7dbfe62be1ac737d26823611f251d362c52a1141,3,0
6121,8465,"""8465"",",J COLE,561,3048,2650,8,1,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,3,0
6122,20837,"""20837"",",Head of Bitcoin,562,2542,2650,8,2,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,3,0
6123,20453,"""20453"",",Purple_Serenity,591,2540,2650,8,2,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,3,0
6124,20358,"""20358"",",LeFrateeer,492,2042,2650,8,2,0x06b4553c81ba317a29de282bef7bbe910cc03d99,0x06b4553c81ba317a29de282bef7bbe910cc03d99,3,0
6125,19380,"""19380"",",Mystical Eyes Gotchi,564,2597,2650,8,2,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,3,0
6126,17117,"""17117"",",graam,488,2708,2650,8,2,0xfec90ee4a1ea9ccff0d1971c61fe5a4488594a58,0xfec90ee4a1ea9ccff0d1971c61fe5a4488594a58,3,0
6127,8092,"""8092"",",Filecoin,436,2149,2650,8,1,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,3,0
6128,22062,"""22062"",",UnCurved,697,1919,2650,8,2,0x9ff84b91998df96a6587db8dde8d4e47518107d6,0x9ff84b91998df96a6587db8dde8d4e47518107d6,3,0
6129,12339,"""12339"",",SPACE CADET,567,2242,2650,8,2,0x06b4553c81ba317a29de282bef7bbe910cc03d99,0x06b4553c81ba317a29de282bef7bbe910cc03d99,3,0
6130,23576,"""23576"",",Heidi Klum Kaulitz,619,2574,2650,8,2,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,3,0
6131,13121,"""13121"",",PVP : 536 BRS + 1200 KIN,550,2112,2650,8,2,0xdb10d21f28a34fd04e4425eac777483798f7e217,0xdb10d21f28a34fd04e4425eac777483798f7e217,3,0
6132,22706,"""22706"",",LATE FOR BREAKFAST,608,2069,2650,8,2,0x06b4553c81ba317a29de282bef7bbe910cc03d99,0x06b4553c81ba317a29de282bef7bbe910cc03d99,3,0
6133,1260,"""1260"",",ERC-20,573,1914,2650,8,1,0x9ff84b91998df96a6587db8dde8d4e47518107d6,0x9ff84b91998df96a6587db8dde8d4e47518107d6,3,0
6134,4003,"""4003"",",H1 Aave,532,2809,2650,8,1,0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,3,0
6135,15044,"""15044"",",GFA_SWS,520,2725,2650,8,2,0xfec90ee4a1ea9ccff0d1971c61fe5a4488594a58,0xfec90ee4a1ea9ccff0d1971c61fe5a4488594a58,3,0
6136,21105,"""21105"",",Binance USD,520,2180,2650,8,2,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,3,0
6137,9856,"""9856"",",Rhombus,438,2969,2650,8,1,0xfec90ee4a1ea9ccff0d1971c61fe5a4488594a58,0xfec90ee4a1ea9ccff0d1971c61fe5a4488594a58,3,0
6138,12526,"""12526"",",TOP3 Lowest BRS - 326!,324,2590,2650,8,2,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,3,0
6139,21143,"""21143"",",Wrapped Bitcoin,510,2183,2650,8,2,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,3,0
6140,23779,"""23779"",",Captain Tether,538,2540,2645,8,2,0x38798bfb6016beeeae2b12ed1f7ba2c9bb49334f,0x38798bfb6016beeeae2b12ed1f7ba2c9bb49334f,3,0
6141,317,"""317"",",USDT.gotchi,537,1477,2645,8,1,0xd4e42e41fca01464d36a44acab98d2aa1447e8f4,0xd4e42e41fca01464d36a44acab98d2aa1447e8f4,3,0
6142,21245,"""21245"",",Franky,508,3,2645,8,2,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,3,0
6143,17279,"""17279"",",Irina_GDT,533,3,2645,8,2,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,3,0
6144,19415,"""19415"",",Daymos,526,3,2645,8,2,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,3,0
6145,7667,"""7667"",",21 SAVAGE,555,3091,2645,8,1,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,3,0
6146,19468,"""19468"",",Julia_GDT,554,3,2645,8,2,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,3,0
6147,22146,"""22146"",",Minneapolis,543,1676,2645,8,2,0x79bf225fbfd40f78b1878a6d1eec1bb03df92aeb,0x79bf225fbfd40f78b1878a6d1eec1bb03df92aeb,3,0
6148,17836,"""17836"",",Nic_GDT,544,3,2645,8,2,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,3,0
6149,19764,"""19764"",",Irina2_GDT,525,3,2645,8,2,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,3,0
6150,19705,"""19705"",",Black Widow,504,2319,2645,8,2,0x1c28b4f1c0ce16597d52fff5978080a3fe4d119c,0x1c28b4f1c0ce16597d52fff5978080a3fe4d119c,3,0
6151,21719,"""21719"",",aleks2_GDT,511,3,2645,8,2,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,3,0
6152,6121,"""6121"",",crypto.com,569,71,2645,8,1,0x5e7c21defe711bcd5cea1b267d2e87f7913d510f,0x5e7c21defe711bcd5cea1b267d2e87f7913d510f,3,0
6153,18804,"""18804"",",aleks_GDT,548,3,2645,8,2,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,3,0
6154,18801,"""18801"",",El Capone_GDT,550,3,2645,8,2,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,3,0
6155,22598,"""22598"",",Misha_GDT,527,3,2645,8,2,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,3,0
6156,15327,"""15327"",",DIAMONDSHANDS1,581,2761,2645,8,2,0x73719c0c85a430ab716bafc6a2a6768e40f7d334,0x73719c0c85a430ab716bafc6a2a6768e40f7d334,3,0
6157,6845,"""6845"",",bug eye floor,420,2915,2645,8,1,0x5f9ce0c2804af2a678d33e3617ee829c00ef6be0,0x5f9ce0c2804af2a678d33e3617ee829c00ef6be0,3,0
6158,17975,"""17975"",",Polydevk,524,3,2645,8,2,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,3,0
6159,23838,"""23838"",",Donald_Duck,618,2543,2640,8,2,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,3,0
6160,17196,"""17196"",",Chiliz,498,2100,2640,8,2,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,3,0
6161,19497,"""19497"",",BAYC,619,2555,2640,8,2,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,3,0
6162,24125,"""24125"",",Twinkle Star,581,2551,2640,8,2,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,3,0
6163,16067,"""16067"",",UMA,514,2102,2640,8,2,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,3,0
6164,17449,"""17449"",",Aauction logs,494,2729,2640,8,2,0xfec90ee4a1ea9ccff0d1971c61fe5a4488594a58,0xfec90ee4a1ea9ccff0d1971c61fe5a4488594a58,3,0
6165,5143,"""5143"",",SUPER-USD,530,2197,2640,8,1,0xe9e24df3edf7e6dfb0595ff72112735d95f41ca8,0xe9e24df3edf7e6dfb0595ff72112735d95f41ca8,3,0
6166,22282,"""22282"",",maxexp,515,2207,2640,8,2,0xf17faf9978b2f0087e6c78553ede42d15abf76c5,0xf17faf9978b2f0087e6c78553ede42d15abf76c5,3,0
6167,9457,"""9457"",",UNIKORN,500,1763,2640,8,1,0x7540db3e26d453ee6298bbdd263a8e4d88bfbe7f,0x7540db3e26d453ee6298bbdd263a8e4d88bfbe7f,3,0
6168,23577,"""23577"",",Cryptoticker.io,600,2573,2640,8,2,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,3,0
6169,21751,"""21751"",",Tripple. D,602,2545,2640,8,2,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,3,0
6170,22899,"""22899"",",User0xDefault,529,2412,2640,8,2,0x2127aa7265d573aa467f1d73554d17890b872e76,0x2127aa7265d573aa467f1d73554d17890b872e76,3,0
6171,11914,"""11914"",",1inch Network,506,2136,2640,8,2,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,3,0
6172,10593,"""10593"",",Wrapped Ether,499,2177,2640,8,2,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,3,0
6173,15953,"""15953"",",Broquat,512,2207,2640,8,2,0xf17faf9978b2f0087e6c78553ede42d15abf76c5,0xf17faf9978b2f0087e6c78553ede42d15abf76c5,3,0
6174,20532,"""20532"",",Maya Man,566,2356,2640,8,2,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,3,0
6175,7664,"""7664"",",Chris Brown,550,3103,2635,8,1,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,3,0
6176,5795,"""5795"",",MICHAEL CORLEONE,529,3119,2635,8,1,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,3,0
6177,736,"""736"",",Lamborghini Reventon,518,3117,2635,8,1,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,3,15405000000000000000
6178,6372,"""6372"",",Kodak Black,545,3137,2635,8,1,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,3,0
6179,5271,"""5271"",",Gatchi,521,3119,2635,8,1,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,3,15437500000000000000
6180,14550,"""14550"",",Weezer,538,2534,2635,8,2,0xa322f14c4e9628f5934420a6098a01e7c999e657,0xa322f14c4e9628f5934420a6098a01e7c999e657,3,0
6181,16878,"""16878"",",Henri,511,2323,2635,8,2,0xa64f7eb2e0888ebfee31f7bccbe86555c51cfad3,0xa64f7eb2e0888ebfee31f7bccbe86555c51cfad3,3,0
6182,13892,"""13892"",",Dirk Diggler,552,2523,2635,8,2,0x936181c78169f56e2cdd396fe511a96191a6623e,0x936181c78169f56e2cdd396fe511a96191a6623e,3,0
6183,1976,"""1976"",",LA COSA NOSTRA,517,3120,2635,8,1,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,3,15485000000000000000
6184,22917,"""22917"",",Majo Matic,528,2261,2635,8,2,0xc54a79174cb43729e65a95e41028c9bac7ab4592,0xc54a79174cb43729e65a95e41028c9bac7ab4592,3,0
6185,4551,"""4551"",",Ether 2.0,550,3123,2635,8,1,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,3,0
6186,19300,"""19300"",",AMAZING EYES,510,2533,2635,8,2,0x299f70376d88868d26772f152751d25b910d6b33,0x299f70376d88868d26772f152751d25b910d6b33,3,0
6187,7247,"""7247"",",Sir Percival,578,3395,2630,8,1,0x2a08fecb8ac932cb7d3f6a3a0e434a4b9968dd56,0x2a08fecb8ac932cb7d3f6a3a0e434a4b9968dd56,3,0
6188,11795,"""11795"",",PancakeSwap,517,2098,2630,8,2,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,0x0bb75bef057da63a0ae4b25fe9adafd35cd92b87,3,0
6189,22019,"""22019"",",- Baby Yoda -,567,967,2630,8,2,0x7af4922fc22037d573e889201be7c38e42f22220,0x7af4922fc22037d573e889201be7c38e42f22220,3,0
