position,gotchiID,formattedTokenID,name,withSetsRarityScore,kinship,experience,level,hauntId,owner,originalOwner,status,stakedAmount
5249,16160,"""16160"",",Ozymandias,541,3015,4115,10,2,0xae79077d8d922d071797a7f8849430fed488c005,0xae79077d8d922d071797a7f8849430fed488c005,3,0
5250,23978,"""23978"",",Carnage,541,3015,4560,10,2,0x77427023e70cafd983dabaf3488d8d83ecb15b96,0x77427023e70cafd983dabaf3488d8d83ecb15b96,3,19655000000000000000
5251,22126,"""22126"",",Jerry [Synth],541,3013,4365,10,2,0x8628d73d3f950abde99739ef34b6cfa10394f579,0x8628d73d3f950abde99739ef34b6cfa10394f579,3,0
5252,19992,"""19992"",",10 second tom,541,2994,3375,9,2,0x7d20e3ae9a4198c2cfc0e2d1d0bb81cbc41ab0a0,0x7d20e3ae9a4198c2cfc0e2d1d0bb81cbc41ab0a0,3,0
5253,1190,"""1190"",",LA FERRARI,541,2992,2505,8,1,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,0xb26b5566cb575990cd5dd9c93c43ee39a02befba,3,0
5254,23689,"""23689"",",Aavegotchisan,541,2972,4515,10,2,0x38048af4da7d79d2b553836a6d4950d0ac4b60f7,0x38048af4da7d79d2b553836a6d4950d0ac4b60f7,3,18030000000000000000
5255,15481,"""15481"",",Magnificent,541,2942,4190,10,2,0x852271883ed42cc3f9d9559b05ab4784fc768e93,0x852271883ed42cc3f9d9559b05ab4784fc768e93,3,0
5256,24554,"""24554"",",DeuceHearts,541,2932,6830,12,2,0x6d06dd922210c87df1f532b4805badf782e598b9,0x6d06dd922210c87df1f532b4805badf782e598b9,3,0
5257,14741,"""14741"",",BelleWETHer,541,2958,3515,9,2,0x85362d4700d2f8d55d1d779b31b837c863ae3c14,0x85362d4700d2f8d55d1d779b31b837c863ae3c14,3,15550000000000000000
5258,11692,"""11692"",",Peace Be The Journey,541,2927,3780,9,2,0x07a009e9e98649bff954cf3032ceb3e21e020f49,0x07a009e9e98649bff954cf3032ceb3e21e020f49,3,0
