wallet,combinedVP
0x001900845643957d031ecdb3c5fd84ef08f6aaca,2447.2625
0x001daa61eaa241a8d89607194fc3b1184dcb9b4c,5340.101647960667
0x0030b9f1925408d79be83c7cecfffdbacb638e9b,654.9525
0x00987cbce7014389197f9d5468dab5a8facffee0,7209.9013186750135
0x00d672e53e8e9bcd4ee4bb2f05032b3c25e3c04c,3399.004481331912
0x019ed608dd806b80193942f2a960e7ac8abb2ee3,48566.145500000006
0x02feb744ca516fd6e41d940ae2d0f7cb6fcb1ac3,2842.0525
0x038f77ab71fc40949eea81aa65b471c6a3f1a02d,7542.725005341043
0x03b16ab6e23bdbeeab719d8e4c49d63674876253,217830.55642856949
0x0465c733bcbc4e15f15d393d919cf6dc8ae757ce,22117.198012696044
0x053bdf48af983da9794eda2f195f2f29bfef259a,2775.3884523008596
0x059c78aadca79427358c3d6a2e1877494e78ca8a,2555.920785660544
0x05ebff07711a5b6042c27fdaa683a5c6d55b6684,5355.7825
0x0628c084f4b72c1297e96c7005f309ae89f982a6,165
0x063d6360bafe1981578e8b359c8176f359e23c26,10773.417599999999
0x071d217637b6322a7faac6895a9eb00e529d3424,65049.14975157672
0x072b96cf92aa03f453ccfb114a166d11f88a3414,2259.535265704379
0x07494efb9fc623b74b31714192826c70eba7423f,1313.3880005577976
0x07a009e9e98649bff954cf3032ceb3e21e020f49,67775.3587249074
0x0b31e9737fee75157a9aa775e35a43dec1dc2059,0
0x0d15764e7f13e780ca0ae83a15a8d819db05ef2b,12195.505132857874
0x0d6e94d085a597f316be1833649e05a45103e873,3069.789999107024
0x0e05fc644943aae89dd3fec282c3f86431a7d090,58845.11084977051
0x0f53809658e5364bbdb368579d2b3d6052cc66d1,0
0x101addc07d63a6b35b199153252168ab9889dca1,3547.8147797211186
0x1091232c61eee86418dc93a5c895db3490386501,530.463802708817
0x10b989914a478ed7de2d2c4cc4e835bbd3de229b,1285.8999564074
0x10dbc99c90234e4447f0366e8368d688f622475a,7670.0025
0x119b91827df70f4378de9912fdfa101fb40364b8,6335.040647525627
0x119cbec59eb0bfb89971fcb96e3b1cad8a66e2d9,6266.115775002876
0x11f11dafde2ed523cd935184dd28876ce52f1652,33642.33147822281
0x124e64c9ed898d4a8b130f6acb76b33e21cd711c,12426.3375
0x147510ebb636d80bb080de8fbb3df2e925a26e15,1
0x149477f884094820b413b59cdace31ccdca387e4,786.9541558
0x14bfc79a2d8076a4e468f16640355bb47a68580b,19235
0x14e495f1c792185c4491b2317a02f3c3c6775c82,10493.503111878636
0x1523afb8e48cfad26700191495e2672f7140080f,1
0x156e6c5a2fac34bb2fcf2ac1bbaa0e75bde3ac4f,139396.47299259296
0x160fbd013c8821403f9f5f6868b6f50cda050be3,72043.9925
0x170ce87867068065a606e19a5cb19ffdf26675fb,983.7494776672225
0x1724e533732edde9e72c54820e8e95d54d3145e5,1988.1163129188378
0x17a3831b39cc557296d0c322f9c2d42c0b3a8f3f,59370.09649461229
0x180f207f8747a966ec94277a69610162d7fa3ff1,84249.11959879567
0x18bfff508960710fee296502de84667c7f4e88cf,53147.6375
0x19e02b992c0295d27eecff941d5dbfaf85409d86,6763.4800000000005
0x1a08b4d6497fa6d5970bd8f6c72bc5fbc8dd500e,15478.06590044321
0x1a518a3e674a76324058822ca5d8688cffc5033b,39328.085944239654
0x1a760e3a431c8b9c075ed1280c8835a1a0f1651b,38416.4031
0x1bdebaf12ec0ce61bcfc4c8e2bb15f1286fbfe2a,18452.739596236795
0x1c28b4f1c0ce16597d52fff5978080a3fe4d119c,5088.387204853977
0x1c8915f70850873a03df2d6cdba71b226bcdfeb3,4505.257934489868
0x1d0542b616c691a002e90a713e7d094c0f8e022d,69695.57920000001
0x1d1fcb7ead6e54bbf5b41ba9a85815cde1183564,3546.056342531295
0x1dc6074361a3cddee55a61c92bcf7de1667e1096,0
0x1e39cc29009ed4760c186d8771295c1e224882d4,6038.834749465366
0x20906e454a9d20181350630ead131d8dfa21dd3f,21459.1025
0x20ec02894d748c59c01b6bf08fe283d7bb75a5d2,123868.95999999999
0x21199f1a2f84f986b1f564f5f5cd4bb3f894bee4,2818.8775
0x2127aa7265d573aa467f1d73554d17890b872e76,17687.058937643866
0x21ff9d23e14f3ec0cfc90fa624ef224418fcc5a8,1
0x23230789629cde13f28ed45f3540a5d008d59db3,11905.204802088901
0x23abad8c65a9a93abcc343892aaf3d6e88b5ccc9,19384.167579001107
0x24970b51dd29dc2dfa264cd51c41998c68e3d7e6,6940.15
0x24c07ec63423146646fa96d1c05f67547aa2acd1,665.9661382750633
0x262944448ec574dd5f82136964bbf189cc1ab579,38408
0x26bac3547908e923b641c186000585e8ce98f4db,3253.6511074082855
0x2848b9f2d4faebaa4838c41071684c70688b455d,82148.60649885694
0x295c8a1e704f4b6ff1e9adcfc5ab5ff96a85fa11,11544.913947663024
0x296ecbbea7df97b1def2996bc2d727bad8515bb2,5228.062519801837
0x299f70376d88868d26772f152751d25b910d6b33,118482.0225
0x29f227b10c58457d8837031c813216de82f9abaf,7614.081731381667
0x2a254c18f8e1794b05bea298ae27126df160b9e0,3354.959274083287
0x2a8d763a923d546e0a73c954a08be37978e380cc,7385.992108239927
0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,294252.2066654763
0x2bf034eccebc8cd60dab9c249b6c2996dcb7d8ec,6052.641500000001
0x2d5f86cd294ca6c92189340eaeff41fc63dc66ef,100241.12136921677
0x2d6d9a73afad28b08609e12058dd7c4d9bb8f0ba,5102.045
0x2dc8c2ec64a5dff670bc4ad3ab2ca6cf0b09a13e,2107.265
0x2e21407be0545c706f25490fbba532943fcaed32,212406.27755992403
0x2e2bb9ad2ad0bc19728700896cc9562f24010552,0
0x2f08d099c60823ce5955e747909d216dcbc9bf21,33069.168281013015
0x2f2b6fcd1050ef4f406f314897d08df1c327dab6,27.02
0x2fa37cb96c19e9b1f9ad060aed00c0cfc727ae39,13266.166562738472
0x300010ded7b789ab5764bb52dde82edd6d29908d,6183.3568909827845
0x30dcca068f593cbffb5affe8a89f35ae49614972,3765.5331139710343
0x3144edaed85adeef318f5d298c29d9871925d44c,64
0x314ad39c842b0865cdc48fb5e1688313ccda463e,2643.6416592775317
0x314d4f49ec84c69dad52a9b3fde8720067d206fd,7320.727328604713
0x3297e2c5adbd19032d9929e0432bf70dd98966cb,17809.73212276686
0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,192539.23322321073
0x33c01376c5f53a2b9d623b833f2f77f9b118a8c0,2369.2075
0x346e7d415382b91905080ccdae6e5147866a6561,39865.815
0x34ee160d57c7c14d018b6f751fafd1060b560db6,2286.4025
0x35001a8bdb3a224d05f086094c12fd4c9009986d,39539
0x3516beb62fd21a7795f2e297c43b4fb7b223075e,1152.9542255337226
0x352d68686d21237582566c6b95dd7edbf04314da,150
0x353807396aa42b7fea5a98d1da7cebcdd6e0406a,4896.101631093731
0x36c01f66fe9cfad31bb60069fdf7a2ca4f9b3ac7,3468.33
0x377aacf0420fb9b132e95b64a43232ba054eafac,0.8421593039836167
0x37e2a074b7bed2bf2e35c3767a8b673db2658bcc,21053.47
0x38048af4da7d79d2b553836a6d4950d0ac4b60f7,51074.820168729246
0x38dcfa6b1263c33fbbc2bafd4882a7dd5027472d,1
0x38ff11d71e32d6a97da15bdcfbcdfccdeda9e637,17931.676483565123
0x39292e0157ef646cc9ea65dc48f8f91cae009eae,5964.914144194558
0x3aef590df6febaa81477c1cea3009bb9e096730c,7940.386708258905
