wallet,combinedVP,votingPercentage,rewardVP,rewardWeightedVP,rewardRF,rewardTotal
0xfaff4170e628aef5c5ce84c47ebddb5a99517fe2,44849.1936446412,0.7508530000,1.3859816410,1.5834192303,1.4146794383,4.3840803096
0x4edb4161d16c89b71aec027930a943c3d4cf0777,41444.0624743226,0.9897610000,1.2807523402,1.9287636490,1.0773605930,4.2868765823
0x6e8d1cc55c33850102b7d8ababd7a16ce976d2e2,77896.2167360633,0.1296930000,2.4072389608,0.4750280523,1.3735974586,4.2558644717
0x417aff82d2cd9fd39fe790af5798ae865fbe8c48,58565.6642368340,0.5665530000,1.8098638756,1.5601629938,0.6872190791,4.0572459484
0x59e9f8f07f9d339c48c8521af341a1a2337a9e22,55223.0201569363,0.4982940000,1.7065656231,1.2938745424,1.0402366752,4.0406768408
0x2f08d099c60823ce5955e747909d216dcbc9bf21,33069.1682810130,0.9044370000,1.0219416760,1.4063322902,1.5534366820,3.9817106482
0x160fbd013c8821403f9f5f6868b6f50cda050be3,72043.9925000000,0.0409560000,2.2263867605,0.1387399911,1.5119832046,3.8771099562
0x18bfff508960710fee296502de84667c7f4e88cf,53147.6375000000,0.8122870000,1.6424297485,2.0299242067,0.0128026842,3.6851566394
0x6157730c4f8e2092f601460b836530e3252b3120,43576.4983660607,0.7269620000,1.3466513399,1.4895339100,0.8107408394,3.6469260893
0x451d5140852b90ba1f337d9094a359323341fad2,46923.5376697363,0.0307170000,1.4500854186,0.0677728736,2.1023600980,3.6202183902
0x1a518a3e674a76324058822ca5d8688cffc5033b,39328.0859442397,0.8703070000,1.2153619868,1.6093912748,0.7808348789,3.6055881405
0x1a760e3a431c8b9c075ed1280c8835a1a0f1651b,38416.4031000000,0.8225260000,1.1871881094,1.4857737809,0.7449951575,3.4179570478
0x7b3012531aaed7b48bc9bfbc1cd7e7f20b1bb5b8,52386.8171803219,0.4675770000,1.6189179992,1.1517587199,0.6237362278,3.3944129470
0xe1a1d5c32888c5b140917b296e82cf3a448f37a6,34091.4700000000,0.9931740000,1.0535340258,1.5920526481,0.7360755429,3.3816622168
0xe4464675b21c1e9f80b839a2bc4ed7a3c586f86e,60525.8187154351,0.4641640000,1.8704388358,1.3209868135,0.1866875842,3.3781132335
0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,44069.9182728045,0.8088740000,1.3618995724,1.6761368594,0.3249498318,3.3629862636
0xe2de15659663f7024699e1e573c033e2efd5bcb1,26788.4958116627,0.9010240000,0.8278490730,1.1349351407,1.3967803231,3.3595645368
0x37e2a074b7bed2bf2e35c3767a8b673db2658bcc,21053.4700000000,0.9044370000,0.6506186740,0.8953407727,1.7224499431,3.2684093898
0xa98e714577ad2b41efbcb5f79c3cd663bc806905,30220.5216607982,0.7440270000,0.9339095043,1.0572483312,1.1485665701,3.1397244056
0x5f9ce0c2804af2a678d33e3617ee829c00ef6be0,43517.4817217193,0.4982940000,1.3448275393,1.0196139507,0.7225931719,3.0870346619
0x38ff11d71e32d6a97da15bdcfbcdfccdeda9e637,17931.6764835651,0.8771330000,0.5541454010,0.7395587863,1.7279963483,3.0217005357
0xa9465d03ba38726277b3e478ac98aa063a0c8d0a,32866.2732475709,0.8566550000,1.0156715791,1.3238621672,0.5325235405,2.8720572868
0x3d3d9e2f292ab523d2c518813be4416d1d641621,36804.0429342079,0.7235490000,1.1373610912,1.2521311846,0.4803187959,2.8698110717
0xcd8eddd0a27047d53d65f23d483a8a169d54526b,34769.0835501213,0.7440270000,1.0744744233,1.2163772675,0.5692786674,2.8601303582
0x3c25ae7dae49b3c24439549928bfc1df60a0ad20,33271.3791049954,0.7542660000,1.0281906287,1.1799991376,0.5856969660,2.7938867323
0xa60ca8a1400333468a736c7247baad6350c6496d,29420.5330541171,0.9863480000,0.9091873313,1.3644796442,0.4642664722,2.7379334477
0x8efc96f7edb7f656a63b3195bf9728782115c4c7,31324.6386685771,0.7679180000,0.9680302047,1.1310642436,0.6372787974,2.7363732458
0x3e01cbe85caddb812a0483335f69815dafcb8eb7,34111.7409028577,0.9078500000,1.0541604607,1.4561440428,0.2077941812,2.7180986847
0x547c0dbd2fc303c8e97475ec072a58de60ec134a,29828.2836000000,0.7781570000,0.9217881102,1.0913947183,0.6956769606,2.7088597891
0xde34393312c0c1e97e404d18a04580e9610e063c,24592.5115674908,0.9897610000,0.7599862287,1.1445099616,0.7883823234,2.6928785137
0xdb10d21f28a34fd04e4425eac777483798f7e217,35268.9326985289,0.5631400000,1.0899213396,0.9338885472,0.4900633199,2.5138732067
0x346e7d415382b91905080ccdae6e5147866a6561,39865.8150000000,0.3651880000,1.2319795119,0.6845473616,0.4507892997,2.3673161731
0x7d9fb540504d8f277099472b89113485f712c546,27574.0084833428,0.8668940000,0.8521238939,1.1239636282,0.3335200430,2.3096075651
0xd07ee1049929e97680f7bb176721ea1e6114f42c,29526.1249058316,0.5494880000,0.9124504528,0.7628708506,0.6048833494,2.2802046528
0xc7d61f99980e6575409680e6ceec3345f53c62e7,50794.1858509469,0.2354950000,1.5697006643,0.5624475767,0.0841399464,2.2162881874
0xf1950fc03486a502b05f93df1a7a4edc741257c6,27174.8289290419,0.7064850000,0.8397879857,0.9027263507,0.4244852472,2.1669995837
0xe5465ced137ecf8c80bbf7a1e2f2bf457a12a466,21468.0000000000,0.8225260000,0.6634289594,0.8302857362,0.6559027724,2.1496174680
0xa14c5e8d3b5680db8246b18cf986c54905c2249f,26042.6076308212,0.6757680000,0.8047987740,0.8275008449,0.4995803202,2.1318799391
0x7d1368528d8dd105368c91700f1ac30d81628794,23125.6881407652,0.7986350000,0.7146567551,0.8684190854,0.4679921226,2.0510679630
0x75c32299da1395c5ba98c6e213f0deb1320a33cb,41871.5875000000,0.1843000000,1.2939642129,0.3628533338,0.3572391727,2.0140567195
0x409ceb81bb143a400b02445ca273b37720b7665e,25302.0088011722,0.8566550000,0.7819119326,1.0191715974,0.1687982103,1.9698817403
0x472d7e705f3baa44f82bff5b397330015d810828,23300.2886607778,0.8191130000,0.7200524623,0.8974111798,0.3451305785,1.9625942206
0xdf572e905e2730efdbfb8d11829571d3a516acd3,24729.0175000000,0.4266210000,0.7642046929,0.4960614140,0.6905763283,1.9508424352
0xae5b56ca47e84b6c749e0454680c4161b9da9790,23818.9759246519,0.6484640000,0.7360815358,0.7262653289,0.4813855194,1.9437323841
0xa02a7a705c8776c58fc8f3f8df5189eaef8f26fd,28868.7679491758,0.5255970000,0.8921360480,0.7134564736,0.3280155039,1.9336080255
0x4eb172821b5bc013269c4f6f6204f092d44197ec,18569.1950000000,0.8395900000,0.5738467354,0.7330720978,0.6119387955,1.9188576287
0xf1b2caf073b70dca2bf8d540670abc9d7cc76882,22090.4604157440,0.7576790000,0.6826649509,0.7870029743,0.4399783983,1.9096463235
0x11f11dafde2ed523cd935184dd28876ce52f1652,33642.3314782228,0.4402730000,1.0396542279,0.6964572988,0.1726687395,1.9087802662
0x7fbd1e4c9449c2443e0ad17537d77645bd23cc21,20564.5532858894,0.8737200000,0.6355096044,0.8448467012,0.4079521617,1.8883084673
0xe6390b6188dedbaf7339672cc4d75ee825b2654e,21322.6285208672,0.8259390000,0.6589365219,0.8280852899,0.3572691038,1.8442909155
0xba39c047714b4ca6244dc433d3ae3924691e0171,24968.3621625825,0.7372010000,0.7716011984,0.8654905420,0.2037915874,1.8408833278
0xc4fe12630feffdb5ee72eddcbbb43b595407442f,20787.8875000000,0.7064850000,0.6424113365,0.6905572017,0.5030046671,1.8359732053
0xeae9c2a2c803becbc81f3a485a7cda9d03e33165,22246.9250000000,0.7235490000,0.6875002004,0.7568752325,0.3776339624,1.8220093953
0xd144bd603b2399f578af0c6efc30cec9c727c8b2,42205.9261958410,0.0136520000,1.3042963339,0.0270929360,0.4478216571,1.7792109270
0x6519e6117480d140cd7d33163ac30fd01812f34a,5789.8506942889,0.9078500000,0.1789246609,0.2471540993,1.3293869310,1.7554656912
0xdc5aac3b5bd12aff946a6c263172bfc0392883d1,16210.2275000000,0.9590440000,0.5009471940,0.7309943128,0.4786711103,1.7106126172
0x79f563398ff8a5a5ff18650e56b9bac8be84bfa5,17722.0575000000,0.8020480000,0.5476675128,0.6683452366,0.4726137017,1.6886264511
0xe9da1801adcb61a41c6bdfdb7049c5e14383e8fd,30335.7059873523,0.3481230000,0.9374690635,0.4965616547,0.2472933964,1.6813241146
0x6f88d648e83a1a4b2e9d61304c9ce5d1ea9a9ca9,20747.2510050159,0.7201370000,0.6411555405,0.7025254178,0.2958432352,1.6395241936
0xd52a4333bd8cc9ab3c77df19ded4900b7849a07d,17470.3758085770,0.6211600000,0.5398897542,0.5102606573,0.4953245340,1.5454749455
0x8628d73d3f950abde99739ef34b6cfa10394f579,16193.6850000000,0.8873720000,0.5004359786,0.6756748652,0.3658954194,1.5420062631
0x43fbf8dd759778a54fd50c3f0aadfbf47c490451,24539.0000000000,0.5836180000,0.7583325524,0.6733981116,0.1089143307,1.5406449947
0x543d8004afa943344e6fba44e189ed0dd4e71d56,16174.1863442424,0.7883960000,0.4998334086,0.5995883834,0.4396547878,1.5390765798
0x85362d4700d2f8d55d1d779b31b837c863ae3c14,18545.5083896629,0.7030720000,0.5731147444,0.6130909440,0.3517114491,1.5379171375
0x9028421a2969fb49af5a6e1fc85c24a712485246,18379.3832050774,0.7815700000,0.5679809518,0.6754375008,0.2812206867,1.5246391393
0xded7cfb53cf1658e07432a3c4c8c0064d5bd626a,16567.5864513906,0.9658700000,0.5119907136,0.7524268385,0.2438559390,1.5082734911
0x46860b4dfe30ce16e6c3100c1be4344cd5941959,23884.0423198288,0.4709900000,0.7380922928,0.5289393461,0.2023725544,1.4694041933
0x20906e454a9d20181350630ead131d8dfa21dd3f,21459.1025000000,0.4266210000,0.6631539986,0.4304672731,0.3737921878,1.4674134594
0x8b200f4c81c54d9014b4cda3f16501069fa20ab9,13322.6500000000,0.9112630000,0.4117119352,0.5708482989,0.4503972267,1.4329574609
0x23abad8c65a9a93abcc343892aaf3d6e88b5ccc9,19384.1675790011,0.8532420000,0.5990319604,0.7776886063,0.0324809392,1.4092015059
0xa9be601f305b8f4325568f4c7a89bc94be815a57,14205.0000000000,0.8327650000,0.4389793352,0.5562244275,0.4093015295,1.4045052922
0xbdc7a955505e20410061744f556f6dec761bfb8f,19719.1497403303,0.5597270000,0.6093839665,0.5189802098,0.2530430710,1.3814072473
0xc3c2e1cf099bc6e1fa94ce358562bcbd5cc59fe5,36763.2272141214,0.1194540000,1.1360997566,0.2064907877,0.0359845367,1.3785750810
0x1bdebaf12ec0ce61bcfc4c8e2bb15f1286fbfe2a,18452.7395962368,0.7849830000,0.5702478959,0.6810946363,0.1270512585,1.3783937907
0x0465c733bcbc4e15f15d393d919cf6dc8ae757ce,22117.1980126960,0.5802050000,0.6834912270,0.6033897506,0.0905274542,1.3774084318
0xd2f2ffc0a7b5ad0cca44c7c9ca11143e6e8bbba7,31546.9150000000,0.0136520000,0.9748992449,0.0202506763,0.3643428000,1.3594927212
0x735194b0ff3d9fca8561770ebf484eac90b46647,19067.6430326059,0.6416380000,0.5892503529,0.5752722763,0.1714326681,1.3359552973
0xa322f14c4e9628f5934420a6098a01e7c999e657,15567.5807344973,0.7303750000,0.4810873806,0.5346300698,0.2864323394,1.3021497898
0xfec90ee4a1ea9ccff0d1971c61fe5a4488594a58,19414.2636239460,0.3720140000,0.5999620232,0.3395991247,0.2902159658,1.2297771136
0x9c155d672e1d7bb3632cb5602aa004577f3e964a,15421.5404047107,0.7167240000,0.4765742735,0.5197159662,0.2181958875,1.2144861272
0xa44eea8180ac3f66e7dbeab8d0a15cbf1c90b05f,14755.5300000000,0.7849830000,0.4559924498,0.5446298251,0.2114287337,1.2120510086
0x7dbfe62be1ac737d26823611f251d362c52a1141,19100.4400000000,0.1569970000,0.5902638827,0.1410006391,0.4784858048,1.2097503266
0xb3749ab08c12ae8bcd95a5f11272927a2ebc36d5,12189.1475000000,0.5972700000,0.3766831303,0.3423185149,0.4731572874,1.1921589326
0x66bb7c182672a4b4a1c5891b9fd708b241ef3622,16446.8464659436,0.5699660000,0.5082594669,0.4407760041,0.2322337059,1.1812691769
0x59fc6b4e064b62cc7aed200a71aef3eac36c1287,10184.0000000000,0.8157000000,0.3147177437,0.3906026708,0.4728878962,1.1782083108
0x1a08b4d6497fa6d5970bd8f6c72bc5fbc8dd500e,15478.0659004432,0.7201370000,0.4783210897,0.5241048422,0.1649940882,1.1674200201
0xf5fe364d18f4a5a53badce9a046ba74cfc97f6fb,14016.8150000000,0.8464160000,0.4331638247,0.5578527281,0.1508617826,1.1418783355
0x2fa37cb96c19e9b1f9ad060aed00c0cfc727ae39,13266.1665627385,0.7064850000,0.4099664188,0.4406915738,0.2302906382,1.0809486308
0x2127aa7265d573aa467f1d73554d17890b872e76,17687.0589376439,0.5221840000,0.5465859468,0.4342757103,0.0993313356,1.0801929927
0x4cb087cc190943591852f54d1d82e3647228e2c2,20854.8200000000,0.1808870000,0.6444797620,0.1773781649,0.2512096510,1.0730675779
0xca4ad39f872e89ef23eabd5716363fc22513e147,28045.7979102199,0.1160410000,0.8667036763,0.1530261383,0.0463207045,1.0660505191
0xa1d38da3ce3ebe5081e7ad8a0ac2ab5d08541de0,16562.1786188663,0.6450510000,0.5118235945,0.5023401287,0.0496191418,1.0637828650
0x4ada1b9d9fe28abd9585f58cfeed2169a39e1c6b,11923.9189430158,0.9931740000,0.3684867308,0.5568403688,0.1347821348,1.0601092344
0x124e64c9ed898d4a8b130f6acb76b33e21cd711c,12426.3375000000,0.8703070000,0.3840130500,0.5085129029,0.1659427643,1.0584687172
0x635c1bafe7b01a8c52c73cba97a35b4b8d96ae81,9879.8285258852,0.7781570000,0.3053178851,0.3614955797,0.3868114810,1.0536249458
0x70a8c4e53a9078049ca1b2cee477436c8eb61b2d,12375.7494783914,0.7781570000,0.3824497204,0.4528194715,0.2129316316,1.0482008236
0xb9ad10b590bcd2b0db23d0005b2db0d53d9a1cf0,27244.4775000000,0.1228670000,0.8419403464,0.1573983203,0.0099755342,1.0093142009
0x0d15764e7f13e780ca0ae83a15a8d819db05ef2b,12195.5051328579,0.8737200000,0.3768796012,0.5010238802,0.1132428732,0.9911463546
0x3fc3e6514fd4925f55fb3ae17bbfbca2eb126608,11618.0142322737,0.8157000000,0.3590333097,0.4456036321,0.1787549774,0.9833919191
0xe3570b119b995d087bacb2390ae98d9e45a8c59f,13811.8581708809,0.6757680000,0.4268300118,0.4388701956,0.1055847825,0.9712849899
0x4dae5b5bf3dc068bdfec47b8b402aff28fe6707f,12011.4037131305,0.7645050000,0.3711902863,0.4317779399,0.1635141644,0.9664823906
0xd8f35ef085d202fa7cad0e0c61da737b60e1f855,12948.8600000000,0.8020480000,0.4001606445,0.4883354486,0.0744294555,0.9629255486
0xf257403742b622ade40bdd38679c978eb371cceb,17828.9045043700,0.3003410000,0.5509694225,0.2517825553,0.1543551924,0.9571071702
0xda0043131bf97d2b5eb5fc45910c962da8013766,14840.2025000000,0.3788400000,0.4586090973,0.2643516410,0.2338674812,0.9568282195
0x60523cd3f5cf0061c6f042545371fa6ff8cd397b,14709.8725000000,0.3071670000,0.4545814890,0.2124564009,0.2875158480,0.9545537379
0x23230789629cde13f28ed45f3540a5d008d59db3,11905.2048020889,0.7474400000,0.3679084048,0.4184075979,0.1436510306,0.9299670332
0x5b1c410f66a0b0b7a8008e256406dfd18593e4cf,14379.9441685311,0.5802050000,0.4443856622,0.3923060652,0.0617141971,0.8984059245
0xe1bcd0f5c6c855ee3452b38e16fed0b7cb0cc507,9730.5643412950,0.9488050000,0.3007051507,0.4341115581,0.1525366407,0.8873533495
0x14e495f1c792185c4491b2317a02f3c3c6775c82,10493.5031118786,0.8054610000,0.3242823668,0.3974215091,0.1596143448,0.8813182207
0x7540db3e26d453ee6298bbdd263a8e4d88bfbe7f,11385.8445840165,0.5870310000,0.3518585348,0.3142770321,0.2041518651,0.8702874319
0x3297e2c5adbd19032d9929e0432bf70dd98966cb,17809.7321227669,0.2252560000,0.5503769354,0.1886340593,0.1241723141,0.8631833088
0x551486c2335d027662b4c603ac203d7a7b30320e,12426.3705915183,0.8020480000,0.3840140726,0.4686310036,0.0089857125,0.8616307887
0xa915023b3ed1e00e078789e63de079b4d6dcc348,11947.9825000000,0.6621160000,0.3692303706,0.3719760824,0.0903169292,0.8315233822
0xb652158f67b9fb39c29412d6f8e1c563ff6724f2,11063.6889192666,0.6689420000,0.3419029079,0.3479964198,0.1274987901,0.8173981178
0xca7a6a53d5576102765a0281c723f863d881dc96,10450.2291998407,0.8361770000,0.3229450663,0.4108756356,0.0702224010,0.8040431029
0x783a3debbf503ae7771e1b61d12ccefbd3320a6a,9662.7099038315,0.7645050000,0.2986082344,0.3473486593,0.1549641211,0.8009210148
0xe0c74c6ac956dba68797d76f77f1f5a52258aa7e,8993.9000000000,0.9249150000,0.2779398974,0.3911436038,0.1291705581,0.7982540593
0x063d6360bafe1981578e8b359c8176f359e23c26,10773.4176000000,0.7610920000,0.3329326079,0.3855467148,0.0705526323,0.7890319551
0xaf568b4acab91a8119994c69b86648271346796d,9768.0346824760,0.5529010000,0.3018631025,0.2539457354,0.2322223791,0.7880312170
0xaa5150a579e91dfc14a6af0c2b665b190a03e89f,23110.9443499952,0.0648460000,0.7142011254,0.0704672364,0.0000000000,0.7846683618
0xf0803b4cf6359d64913ec6a0b8227640afe69b2a,8879.9600040545,0.6348120000,0.2744187919,0.2650589621,0.2444309881,0.7839087421
0x5b95a971b4583a5f011e9da082acdd679b870d06,14603.0225982254,0.3651880000,0.4512794898,0.2507526960,0.0816896067,0.7837217925
0x3ca2e945a3bc25399c75f49e9e45d34d897c1041,10593.8169414207,0.5460750000,0.3273823807,0.2720139106,0.1586044880,0.7580007794
0x4d00b44569c615f49f50814e4328f354b89e9efe,11465.7175162627,0.6552900000,0.3543268605,0.3532816937,0.0449899659,0.7525985201
0x984c48852f92288bd1afd6ff5d9c26e3d0a9339a,8406.3382611819,0.8327650000,0.2597823852,0.3291665390,0.1506432218,0.7395921460
0x3b3120e283c08daabb5e3f240e008387ef8a67db,7693.0000000000,0.9419800000,0.2377379814,0.3407405107,0.1584481528,0.7369266449
0x7bd0fafe34a8b64afaf16166d644cdbb2b950aab,7086.6706441999,0.8600680000,0.2190004905,0.2865902387,0.2221864048,0.7277771341
0x478fa4c971a077038b4fc5c172c3af5552224ccc,7409.4425000000,0.7986350000,0.2289751597,0.2782404242,0.2060594130,0.7132749969
0xe52af3f93db8280667973ef8770a355a73db6e26,9938.6989604527,0.5358360000,0.3071371674,0.2504077581,0.1494291058,0.7069740313
0xce9332f4d44e9efccc64f88c9bd23e288c0ae5a2,19244.2257741912,0.0853240000,0.5947073169,0.0772072362,0.0208466755,0.6927612286
0x638dd68ae2a2563645fcaaff2e84910aa21f9ae6,8090.7953689737,0.7918090000,0.2500311139,0.3012298507,0.1393992174,0.6906601820
0x9b81fcdb243ff7137afcb77209d1d4be9dc3a6b2,6876.6443995146,0.8668940000,0.2125100167,0.2803037576,0.1759015230,0.6687152972
